hostel,office_email,secretary_email
Barak,barak_off@iitg.ac.in,ss.barak@iitg.ac.in
Brahmaputra,brahmaputra_off@iitg.ac.in,ss.brahmaputra@iitg.ac.in
Dhansiri,dhansiri_off@iitg.ac.in,ss.dhansiri@iitg.ac.in
Dihing,dihing_off@iitg.ac.in,ss.dihing@iitg.ac.in
Disang,disang.gw_off@iitg.ac.in,ss.disangG@iitg.ac.in
Gaurang,gaurang_off@iitg.ac.in,ss.gaurang@iitg.ac.in
Kameng,kameng_off@iitg.ac.in,ss.kameng@iitg.ac.in
Kapili,kapili_off@iitg.ac.in,ss.kapili@iitg.ac.in
Lohit,lohit_off@iitg.ac.in,ss.lohit@iitg.ac.in
Manas,manas_off@iitg.ac.in,ss.manas@iitg.ac.in
Siang,siang_off@iitg.ac.in,ss.siang@iitg.ac.in
Subansiri,subansiri_off@iitg.ac.in,ss.subansiri@iitg.ac.in
Umiam,umiam_off@iitg.ac.in,ss.umiam@iitg.ac.in
